edge_id,source_node_id,source_name,relationship,target_node_id,target_name,relationship_category,evidence_source_id,evidence_page,evidence_snippet,interpretive_note,relation_family,relation_grounding,relation_definition,paper_function,relation_status
E001,N01,HBCU Digital Library Trust,BUILDS_CAPACITY_WITH,N02,Historically Black Colleges and Universities,capacity,S01_about_trust,1,"y of North Carolina Central University Archives Mission The HBCU Digital Library Trust is building capacity with Historically Black Colleges and Universities to digitally preserve and provide global access to their archival collections, sustain institutional, cultural, and community memory, and ensure stories are discovered, maintained, remembered and told. Vision With trust at the forefront, we acknowledge",,capacity,mission_language,Mission-language relation naming capacity building with HBCUs.,Centers institutional capacity rather than only digital output.,source-grounded
E002,N01,HBCU Digital Library Trust,PRESERVES,N23,Archival Materials,preservation,S01_about_trust,1,"l Library Trust is building capacity with Historically Black Colleges and Universities to digitally preserve and provide global access to their archival collections, sustain institutional, cultural, and community memory, and ensure stories are discovered, maintained, remembered and told. Vision With trust at the forefront, we acknowledge and celebrate the undeniable lived experiences and legacy of Black peo",,preservation,mission_language,Preservation relation grounded in the Trust’s preservation mission.,Shows that citation depends on materials being sustained over time.,source-grounded
E003,N01,HBCU Digital Library Trust,SUSTAINS,N34,"Institutional, Cultural, and Community Memory",memory,S01_about_trust,1,"iversities to digitally preserve and provide global access to their archival collections, sustain institutional, cultural, and community memory, and ensure stories are discovered, maintained, remembered and told. Vision With trust at the forefront, we acknowledge and celebrate the undeniable lived experiences and legacy of Black people by being the preeminent digital repository network of HBCU archival coll",,memory,mission_language,"Memory relation grounded in the Trust’s language of sustaining institutional, cultural, and community memory.","Keeps memory as an active relation, not a static archive.",source-grounded
E004,N01,HBCU Digital Library Trust,PROVIDES_ACCESS_TO,N22,HBCU Digital Collection,access,S01_about_trust,1,"ding capacity with Historically Black Colleges and Universities to digitally preserve and provide global access to their archival collections, sustain institutional, cultural, and community memory, and ensure stories are discovered, maintained, remembered and told. Vision With trust at the forefront, we acknowledge and celebrate the undeniable lived experiences and legacy of Black people by being the preemi",,access,mission_access_language,Access relation connecting collections or infrastructures to users or public access.,Expands citation maps to include access-making work.,source-grounded
E005,N01,HBCU Digital Library Trust,ACKNOWLEDGES_AND_CELEBRATES,N34,"Institutional, Cultural, and Community Memory",recognition,S01_about_trust,1,"s are discovered, maintained, remembered and told. Vision With trust at the forefront, we acknowledge and celebrate the undeniable lived experiences and legacy of Black people by being the preeminent digital repository network of HBCU archival collections. HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS HBCU DIGITAL COLLECTION 6/14/26, 3:57 PM ABOUT US | HBCU Digital Trust https://www.thehbcutrust.org/about",,recognition,mission_value_language,Recognition relation preserving the Trust’s mission and vision language of acknowledgment and celebration.,Keeps Black institutional recognition visible as more than access.,source-grounded
E006,N01,HBCU Digital Library Trust,PARTNERS_WITH,N03,HBCU Library Alliance,collaboration,S01_about_trust,3,"sity Coleman A. Jordan Morgan State University Adrienne Webber Grambling State University HBCU Library Alliance Doretha Williams Smithsonian Institute, National Museum of African American History and Culture History In 2006, the HBCU Library Alliance and Cornell University Library collaborated on an innovative, Andrew W. Mellon Foundation grant-funded initiative to prepare library staff from Historically Bl",,collaboration,partnership_language,Partnership relation among institutions named in Trust documentation.,Shows collaboration as infrastructure for preservation and access.,source-grounded
E007,N01,HBCU Digital Library Trust,PARTNERS_WITH,N04,Harvard Library,collaboration,S01_about_trust,3,"ccess to African American archives and special collections, the HBCU Library Alliance and Harvard Library began partnering in 2023. With funds provided by the Harvard & the Legacy of Slavery Initiative, they developed the HBCU Digital Library Trust to expand existing services and business models to scale up and strengthen capacity for the digitization, discovery, and preservation of more HBCU collections. I",,collaboration,partnership_language,Partnership relation among institutions named in Trust documentation.,Shows collaboration as infrastructure for preservation and access.,source-grounded
E008,N01,HBCU Digital Library Trust,PARTNERS_WITH,N05,Atlanta University Center Robert W. Woodruff Library,collaboration,S01_about_trust,2,BCU Digital Library Trust Read More Kendall Barksdale Project Manager Digitization Hub at AUC Woodruff Library Read More Summer Redding Digital Imaging Librarian Digitization Hub at AUC Woodruff Library Read More The Team Michelle Jacobs-Porter Program Coordinator HBCU Digital Library Trust Read More Sasha Jelan Traveling Archivist Digitization Hub at AUC Woodruff Library Read More Sylvia Johnson Digitizati,,collaboration,partnership_language,Partnership relation among institutions named in Trust documentation.,Shows collaboration as infrastructure for preservation and access.,source-grounded
E009,N03,HBCU Library Alliance,SUPPORTS,N19,Contributing HBCU Library and Archive Staff,capacity,S02_partnerships,1,"always leading with curiosity. LEARN MORE The HBCU Library Alliance is a consortium that supports the collaboration of information professionals dedicated to providing an array of resources designed to strengthen Historically Black Colleges and Universities and their constituents. LEARN MORE HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS SERVICES & RES HBCU DIGITAL COLLECTION 6/14/26, 4:00 PM PARTNERSHIPS",,capacity,support_language,"Support relation for institutional, technical, or knowledge-production support.",Shows infrastructural and intellectual support beyond formal citation.,interpretive-source-grounded
E010,N05,Atlanta University Center Robert W. Woodruff Library,SERVES_AS,N06,Digitization Hub,infrastructure,S02_partnerships,2,"higher education that comprise the world’s largest consortium of HBCUs. They serve as the Digital Repository Host and Digitization Hub for the HBCU Digital Library Trust. LEARN MORE HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS SERVICES & RES HBCU DIGITAL COLLECTION 6/14/26, 4:00 PM PARTNERSHIPS | HBCU Digital Trust https://www.thehbcutrust.org/partnerships 2/5",,infrastructure,institutional_role_language,Institutional role relation connecting an organization to a hub function.,Shows institutional hosting and service roles.,interpretive-source-grounded
E011,N05,Atlanta University Center Robert W. Woodruff Library,HOSTS,N22,HBCU Digital Collection,infrastructure,S01_about_trust,3,"ry cultural heritage materials. Since 2008, the HBCU Digital Collection platform has been hosted by the Atlanta University Center (AUC) Robert W. Woodruff Library, and is heavily utilized for research, new scholarship, teaching and learning.* With a shared goal to deepen capacity and advance open, public access to African American archives and special collections, the HBCU Library Alliance and Harvard Libra",,infrastructure,platform_hosting_language,Infrastructure relation connecting a host platform or institution to a collection.,Shows hosting as part of access and maintenance.,interpretive-source-grounded
E012,N04,Harvard Library,CONTRIBUTES_RESOURCES_TO,N01,HBCU Digital Library Trust,capacity,S07_faqs,1,"he Harvard & the Legacy of Slavery initiative, Harvard Library staff will also contribute administrative resources, training, and best practices to aid in the project’s objectives. 3. Will my HBCU institution retain copyright and ownership of any digitized materials contributed to the HBCU Digital Library Trust collection? Yes! All copyright and/or ownership of archival materials and digital derivatives wil",,capacity,partnership_resource_language,"Partnership relation naming resources, training, or best practices contributed to the Trust.",Shows infrastructural support behind repository access.,source-grounded
E013,N07,Harvard & the Legacy of Slavery Initiative,FUNDS,N01,HBCU Digital Library Trust,funding,S07_faqs,1,"o archives and special collections pertaining to African American history. In addition to nearly $6 million which has been designated to support the Trust through the Harvard & the Legacy of Slavery initiative, Harvard Library staff will also contribute administrative resources, training, and best practices to aid in the project’s objectives. 3. Will my HBCU institution retain copyright and ownership of any",,funding,funding_partnership_language,Funding relation connecting funders to the Trust or host institutions.,Identifies material support for preservation and access infrastructure.,source-grounded
E014,N08,MacArthur Foundation,FUNDS,N05,Atlanta University Center Robert W. Woodruff Library,funding,S08_macarthur_grant,1,"Home > About > News & Events > The AUC Woodruff Library Awarded $500,000 Grant from the MacArthur Foundation to Expand HBCU Digitization Project Featured News The AUC Woodruff Library Awarded $500,000 Grant from the MacArthur Foundation to Expand HBCU Digitization Project September 4, 2025 The Atlanta University Center (AUC) Robert W. Woodruff Library has been awarded a $500,000 gr",,funding,funding_partnership_language,Funding relation connecting funders to the Trust or host institutions.,Identifies material support for preservation and access infrastructure.,source-grounded
E015,N09,Cornell University Library,COLLABORATED_WITH,N03,HBCU Library Alliance,history,S11_hbcu_library_alliance,1,"wn campuses. Learn More >> HBCU-CUL Digitization Initiative The HBCU Library Alliance and Cornell University Library collaboration, ""Building Collections, Building Services, and Building Sustainability: A Collaborative Model for the HBCU Library Alliance"", is a nationwide initiative to prepare HBCU librarians to produce digital collections and to develop an Internet-based, searchable database of HBCU librar",,history,historical_partnership_language,Historical partnership relation used for earlier collaborative digitization work.,Places the current Trust within a longer institutional history.,source-grounded
E016,N02,Historically Black Colleges and Universities,CONTRIBUTE,N23,Archival Materials,contribution,S06_material_formats,1,"utsourcing to a trusted vendor) Material Formats and Types The HBCU Digital Library Trust welcomes a myriad of materials documenting the history, culture, and heritage of Historically Black Colleges and Universities. Contributing HBCUs must take care to select archival materials for which the institution holds copyright. Recommended and Preferred Types of Materials Institutional History Recordings of campus",,contribution,institutional_participation_language,Participation relation for HBCUs contributing materials to the Trust workflow.,"Names HBCUs as active contributors, not passive data sources.",interpretive-source-grounded
E017,N19,Contributing HBCU Library and Archive Staff,SELECT,N23,Archival Materials,selection,S06_material_formats,1,"re, and heritage of Historically Black Colleges and Universities. Contributing HBCUs must take care to select archival materials for which the institution holds copyright. Recommended and Preferred Types of Materials Institutional History Recordings of campus speeches, athletic events, performances (audio and/or video) Bulletins and course catalogs Programs Photographs HOME ABOUT THE TRUST PARTNERSHIPS NEWS",,selection,selection_language,Selection relation naming HBCU staff choice of materials.,Shows that digitized collections begin with selection and institutional judgment.,interpretive-source-grounded
E018,N02,Historically Black Colleges and Universities,RETAINS_OWNERSHIP_OF,N23,Archival Materials,rights,S07_faqs,1,"ining, and best practices to aid in the project’s objectives. 3. Will my HBCU institution retain copyright and ownership of any digitized materials contributed to the HBCU Digital Library Trust collection? Yes! All copyright and/or ownership of archival materials and digital derivatives will be retained by the respective HBCU. Digitized materials will be openly accessible to anyone with an internet connecti",,rights,rights_language,Rights relation naming HBCU ownership over materials or derivatives.,Keeps institutional ownership visible in the access model.,source-grounded
E019,N02,Historically Black Colleges and Universities,RETAINS_OWNERSHIP_OF,N31,Preservation Files,rights,S07_faqs,1,l Library Trust collection? Yes! All copyright and/or ownership of archival materials and digital derivatives will be retained by the respective HBCU. Digitized materials will be openly accessible to anyone with an internet connection. A statement providing contact information for researchers wishing to request permission to publish from the HBCU will continue to be found within the metadata for digital obj,,rights,rights_language,Rights relation naming HBCU ownership over materials or derivatives.,Keeps institutional ownership visible in the access model.,source-grounded
E020,N29,Rights Statements,PROTECT,N37,Institutional Ownership and Control,rights,S07_faqs,1,"U. Digitized materials will be openly accessible to anyone with an internet connection. A statement providing contact information for researchers wishing to request permission to publish from the HBCU will continue to be found within the metadata for digital objects. HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS HBCU DIGITAL COLLECTION 6/14/26, 5:14 PM FAQs | HBCU Digital Trust https://www.thehbcutrust.or",,rights,rights_language,Rights relation linking rights statements to institutional ownership and control.,"Shows access as bounded by rights, ownership, and institutional authority.",source-grounded
E021,N23,Archival Materials,INCLUDE,N24,Photographs,material,S06_material_formats,1,"s Formats which can be digitized through the HBCU Digital Library Trust Digitization Hub: Photographic prints Photographic negatives and slides Documents and manuscripts Bound volumes Large format items Audio and video formats (may require outsourcing to a trusted vendor) Material Formats and Types The HBCU Digital Library Trust welcomes a myriad of materials documenting the history, culture, and heritage o",,material,material_format_language,Material-type relation identifying what forms archival materials include.,"Expands the graph beyond texts to visual, audiovisual, and institutional records.",source-grounded
E022,N23,Archival Materials,INCLUDE,N25,Audio and Video Recordings,material,S06_material_formats,1,"tographic negatives and slides Documents and manuscripts Bound volumes Large format items Audio and video formats (may require outsourcing to a trusted vendor) Material Formats and Types The HBCU Digital Library Trust welcomes a myriad of materials documenting the history, culture, and heritage of Historically Black Colleges and Universities. Contributing HBCUs must take care to select archival materials fo",,material,material_format_language,Material-type relation identifying what forms archival materials include.,"Expands the graph beyond texts to visual, audiovisual, and institutional records.",source-grounded
E023,N23,Archival Materials,INCLUDE,N26,Documents and Manuscripts,material,S06_material_formats,1,"tal Library Trust Digitization Hub: Photographic prints Photographic negatives and slides Documents and manuscripts Bound volumes Large format items Audio and video formats (may require outsourcing to a trusted vendor) Material Formats and Types The HBCU Digital Library Trust welcomes a myriad of materials documenting the history, culture, and heritage of Historically Black Colleges and Universities. Contri",,material,material_format_language,Material-type relation identifying what forms archival materials include.,"Expands the graph beyond texts to visual, audiovisual, and institutional records.",source-grounded
E024,N23,Archival Materials,INCLUDE,N27,Yearbooks and Student Publications,material,S06_material_formats,2,"ife Ceremonies and events Buildings and grounds Student Life Student newspaper Greek life Yearbooks Notable achievements – institution-wide, academic, athletic, etc. Founding and/or Administrative Documents President’s Reports Board minutes Charters Official correspondence from Administrators regarding a topic or historic occurrence HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS SERVICES & RESOURCES SERVIC",,material,material_format_language,Material-type relation identifying what forms archival materials include.,"Expands the graph beyond texts to visual, audiovisual, and institutional records.",source-grounded
E025,N15,Traveling Archivist,ASSISTS_WITH_SELECTION_OF,N23,Archival Materials,workflow,S09_digital_yard_transcript,20,"gital Library Trust. Working with our HBCUs. I visit our campus libraries and archives to assist with the selection, packing, and organization of archival material. After each site visit, materials are received here, at the digitization Hub at the Atlanta University Center, Woodruff Library. This is where our team carefully organizes and catalogs each item. Once cataloged, materials are rehoused for proper",,workflow,direct_workflow_language,Workflow relation naming support for selecting materials for digitization.,"Shows that selection is labor and judgment, not a neutral starting point.",source-grounded
E026,N15,Traveling Archivist,ASSISTS_WITH_PACKING_AND_ORGANIZATION_OF,N23,Archival Materials,workflow,S09_digital_yard_transcript,20,"ust. Working with our HBCUs. I visit our campus libraries and archives to assist with the selection, packing, and organization of archival material. After each site visit, materials are received here, at the digitization Hub at the Atlanta University Center, Woodruff Library. This is where our team carefully organizes and catalogs each item. Once cataloged, materials are rehoused for proper preservation, en",,workflow,direct_workflow_language,Workflow relation naming support for packing and organizing physical materials.,Makes pre-digitization care and logistics visible.,source-grounded
E027,N06,Digitization Hub,RECEIVES,N23,Archival Materials,workflow,S09_digital_yard_transcript,20,"ith the selection, packing, and organization of archival material. After each site visit, materials are received here, at the digitization Hub at the Atlanta University Center, Woodruff Library. This is where our team carefully organizes and catalogs each item. Once cataloged, materials are rehoused for proper preservation, ensuring they're fully protected and cared for. From start to finish, every item is",,workflow,direct_workflow_language,Workflow relation for receipt of physical materials by the Digitization Hub.,Shows the movement of materials before digitization.,source-grounded
E028,N06,Digitization Hub,CATALOGS,N23,Archival Materials,workflow,S09_digital_yard_transcript,20,"Hub at the Atlanta University Center, Woodruff Library. This is where our team carefully organizes and catalogs each item. Once cataloged, materials are rehoused for proper preservation, ensuring they're fully protected and cared for. From start to finish, every item is tracked. and stored safely in our environmentally controlled archival storage. Our mission is to safeguard these collections so that futur",,workflow,direct_workflow_language,Workflow relation for cataloging materials after receipt.,Makes cataloging visible as part of the path to discoverability.,source-grounded
