edge_id,source_node_id,source_name,relationship,target_node_id,target_name,relationship_category,evidence_source_id,evidence_page,evidence_snippet,interpretive_note,relation_family,relation_grounding,relation_definition,paper_function,relation_status
E029,N06,Digitization Hub,REHOUSES,N23,Archival Materials,preservation,S09_digital_yard_transcript,20,"brary. This is where our team carefully organizes and catalogs each item. Once cataloged, materials are rehoused for proper preservation, ensuring they're fully protected and cared for. From start to finish, every item is tracked. and stored safely in our environmentally controlled archival storage. Our mission is to safeguard these collections so that future generations can access and learn from the rich h",,preservation,direct_workflow_language,Preservation workflow relation for rehousing materials.,Names preservation labor before and alongside digitization.,source-grounded
E030,N06,Digitization Hub,TRACKS,N23,Archival Materials,workflow,S09_digital_yard_transcript,20,"roper preservation, ensuring they're fully protected and cared for. From start to finish, every item is tracked. and stored safely in our environmentally controlled archival storage. Our mission is to safeguard these collections so that future generations can access and learn from the rich history of our HBCUs. After the traveling archivist rehouses materials, I assign every object with a unique identifier",,workflow,direct_workflow_language,Workflow relation for tracking materials through the process.,Shows administrative tracking as part of accountability.,source-grounded
E031,N14,Digitization Project Manager,ASSIGNS,N32,Unique Identifiers,workflow,S09_digital_yard_transcript,20,"n from the rich history of our HBCUs. After the traveling archivist rehouses materials, I assign every object with a unique identifier and create a digitization plan for the digitization hub team. Now let's take a closer look at the digitization process. Hi, my name is Summer Redding, the Digital Imaging Librarian for the HBCU Digital Library Trust. The next step in our process is scanning. Today, I will be",,workflow,direct_workflow_language,Workflow relation for assigning identifiers or tracking structures.,Shows administrative and technical work that stabilizes archival objects.,source-grounded
E032,N14,Digitization Project Manager,CREATES,N06,Digitization Hub,workflow,S09_digital_yard_transcript,20,"archivist rehouses materials, I assign every object with a unique identifier and create a digitization plan for the digitization hub team. Now let's take a closer look at the digitization process. Hi, my name is Summer Redding, the Digital Imaging Librarian for the HBCU Digital Library Trust. The next step in our process is scanning. Today, I will be showing you how we scan using our Phase 1 camera, which i",Edge uses Digitization Hub as target because a digitization plan is not a node in this minimal version.,workflow,direct_workflow_language,Creation relation for workflow artifacts such as OCR text or planning structures.,Marks technical production as part of knowledge infrastructure.,source-grounded
E033,N16,Digital Imaging Librarian,SCANS,N24,Photographs,digitization,S09_digital_yard_transcript,20,"g, the Digital Imaging Librarian for the HBCU Digital Library Trust. The next step in our process is scanning. Today, I will be showing you how we scan using our Phase 1 camera, which is a state-of-the-art, high-resolution digital imaging camera. The type of materials we typically scan on the Phase 1 are photographs, large and oversized images, and fragile materials. Before I begin scanning, I have to ready",,digitization,direct_workflow_language,Digitization workflow relation for scanning materials.,Names scanning as labor behind digital availability.,source-grounded
E034,N16,Digital Imaging Librarian,HANDLES_WITH_CARE,N23,Archival Materials,care,S09_digital_yard_transcript,20,"nt you to be assured that during the entire scanning process, your archival materials are treated with care and handled delicately. Transcript 20",,care,direct_workflow_language,Care relation naming careful handling of archival materials in the digitization process.,"Preserves care as an infrastructural practice, not merely affect.",source-grounded
E035,N17,Digitization Technical Assistant,PERFORMS_IMAGE_TREATMENT_ON,N23,Archival Materials,digitization,S09_digital_yard_transcript,21,"ndustrial Institute. After the scanning process, we begin the next phase, which is called image treatment. During this process, I organize and edit the scans to become internet-ready images for research access online. Image-treated access images are then exported to become keyword searchable through the Optical Character Recognition, or OCR, process. Through OCR, you can search for specific terms within yea",,digitization,direct_workflow_language,Digitization workflow relation for post-scan image treatment or processing.,Shows technical image work behind usable digital objects.,source-grounded
E036,N17,Digitization Technical Assistant,CREATES,N33,OCR Text,digitization,S09_digital_yard_transcript,21,"e. Image-treated access images are then exported to become keyword searchable through the Optical Character Recognition, or OCR, process. Through OCR, you can search for specific terms within yearbooks, newspapers, and other digital documents. In collaboration with our contributing HBCUs, we create detailed descriptions about each item, which is called metadata. This can include an archival object's title,",,workflow,direct_workflow_language,Creation relation for workflow artifacts such as OCR text or planning structures.,Marks technical production as part of knowledge infrastructure.,source-grounded
E037,N18,Metadata Staff / Information Professionals,CREATES_METADATA_FOR,N23,Archival Materials,metadata,S09_digital_yard_transcript,21,"newspapers, and other digital documents. In collaboration with our contributing HBCUs, we create detailed descriptions about each item, which is called metadata. This can include an archival object's title, date, location, and subject terms. Once this is complete, I pass it back to Kendall to perform quality control checks. After quality control, I upload these unique materials to the HBCU Digital Collectio",,metadata,metadata_workflow_language,Metadata labor relation connecting metadata workers to archival materials.,Makes descriptive labor visible as knowledge production.,source-grounded
E038,N18,Metadata Staff / Information Professionals,COLLABORATES_WITH,N19,Contributing HBCU Library and Archive Staff,collaboration,S09_digital_yard_transcript,21,"can search for specific terms within yearbooks, newspapers, and other digital documents. In collaboration with our contributing HBCUs, we create detailed descriptions about each item, which is called metadata. This can include an archival object's title, date, location, and subject terms. Once this is complete, I pass it back to Kendall to perform quality control checks. After quality control, I upload the",,collaboration,direct_workflow_language,"Collaboration relation among metadata staff, HBCU staff, and project actors.",Shows shared description and stewardship rather than one-way extraction.,source-grounded
E039,N14,Digitization Project Manager,QUALITY_CHECKS,N23,Archival Materials,workflow,S09_digital_yard_transcript,21,"location, and subject terms. Once this is complete, I pass it back to Kendall to perform quality control checks. After quality control, I upload these unique materials to the HBCU Digital Collection, a ContentDM platform, and we preview the materials with our contributing HBCUs to ensure information is accurate and ready for research. Once digitization Quality checks and uploads are complete. We pack mater",,workflow,direct_workflow_language,"Workflow relation for checking scans, metadata, materials, or uploads.",Makes quality control visible as care and technical labor.,source-grounded
E040,N14,Digitization Project Manager,UPLOADS_TO,N21,CONTENTdm,infrastructure,S09_digital_yard_transcript,21,"te, I pass it back to Kendall to perform quality control checks. After quality control, I upload these unique materials to the HBCU Digital Collection, a ContentDM platform, and we preview the materials with our contributing HBCUs to ensure information is accurate and ready for research. Once digitization Quality checks and uploads are complete. We pack materials in archival enclosures and return physical m",,infrastructure,direct_workflow_language,Workflow relation for uploading access files and metadata to CONTENTdm.,Shows repository access as a produced outcome.,source-grounded
E041,N06,Digitization Hub,PREVIEWS_WITH,N02,Historically Black Colleges and Universities,collaboration,S09_digital_yard_transcript,21,"pload these unique materials to the HBCU Digital Collection, a ContentDM platform, and we preview the materials with our contributing HBCUs to ensure information is accurate and ready for research. Once digitization Quality checks and uploads are complete. We pack materials in archival enclosures and return physical materials, as well as high-resolution preservation and image-treated access digital files ba",,collaboration,direct_workflow_language,Review relation for previewing digitized materials with HBCUs.,Shows collaboration and review before public access.,source-grounded
E042,N06,Digitization Hub,RETURNS_TO,N02,Historically Black Colleges and Universities,return,S09_digital_yard_transcript,21,"ion Quality checks and uploads are complete. We pack materials in archival enclosures and return physical materials, as well as high-resolution preservation and image-treated access digital files back to their home HBCU. We are in operation for HBCUs and by HBCUs. It is our sincere pleasure to work with historically Black colleges and universities throughout the country to provide access to these rich mater",,return,direct_workflow_language,Workflow and ethics relation for returning materials/files to HBCUs.,Shows return as part of stewardship and non-extractive digitization.,source-grounded
E043,N06,Digitization Hub,RETURNS_TO,N31,Preservation Files,return,S09_digital_yard_transcript,21,"plete. We pack materials in archival enclosures and return physical materials, as well as high-resolution preservation and image-treated access digital files back to their home HBCU. We are in operation for HBCUs and by HBCUs. It is our sincere pleasure to work with historically Black colleges and universities throughout the country to provide access to these rich materials for the world. Transcript 21",,return,direct_workflow_language,Workflow and ethics relation for returning materials/files to HBCUs.,Shows return as part of stewardship and non-extractive digitization.,source-grounded
E044,N11,Trusted audiovisual vendor,DIGITIZES,N25,Audio and Video Recordings,digitization,S09_digital_yard_transcript,19,"phs, negatives, slides. Published and printed materials. and oversized materials. We also partner with a vendor to digitize audio and video recordings on a variety of media, such as VHS tapes, cassette tapes, reel-to-reels, Betamax, CDs, and DVDs. Transcript 19",,digitization,direct_workflow_language,Digitization relation for transforming physical or analog materials into digital form.,Names digitization as labor that precedes citation and access.,source-grounded
E045,N28,Metadata Records,DESCRIBE,N23,Archival Materials,metadata,S03_metadata_libguide,1,tadata Guide This document provides recommendations on formatting and usage when creating descriptive metadata for digital objects included in the HBCU Digital Library Trust collections. Metadata for the HBCU Digital Library Trust is based on the Dublin Core metadata schema and OCLC FAST subject headings. Dublin Core consists of a series of repeatable elements identified as basic descriptive information for,,metadata,metadata_language,Metadata relation connecting records to the materials they describe.,"Shows description as an active relation, not a passive label.",source-grounded
E046,N28,Metadata Records,SHOULD_BE,N38,"Respectful, Sensitive, and Accurate Description",metadata_ethics,S03_metadata_libguide,1,"ctronic resources. The HBCU Digital Library Trust strives to create descriptions that are respectful, sensitive, and accurate. Whenever possible we consult best practices and work collaboratively with participants. The guide can viewed here or downloaded as a PDF document.  Metadata Guide Search this Guide Search 6/14/26, 4:02 PM Metadata Guide - HBCU Digital Library Trust- Guide for Contributors - LibGuid",,metadata_ethics,metadata_guidance_language,"Normative metadata relation preserving guidance about respectful, sensitive, accurate description.","Shows that metadata is ethical guidance, not merely a technical field.",source-grounded
E047,N28,Metadata Records,USE,N29,Rights Statements,rights,S04_metadata_pdf,6,"HBCU DIGITAL LIBRARY TRUST METADATA GUIDE FOR DIGITAL COLLECTIONS DC. Rights: non- searchable, public/staff field Rights Rights statement supplied by the organization. Please ”future proof” this statement by leaving out specific individuals in this statement, instead referring to the department or general Library Director role. EXAMPLES: Copyright © is retained in accordance with U.S",,research_use,metadata_or_research_language,"Use relation for metadata, rights statements, identifiers, or research access depending on edge context.",Shows use as mediated by metadata and documentation.,source-grounded
E048,N28,Metadata Records,USE,N32,Unique Identifiers,metadata,S04_metadata_pdf,5,"rned, leave blank. EXAMPLES: Liberia--Monrovia Georgia--Atlanta North Carolina--Charlotte DC.Identifier: searchable, public/staff field Identifier Number that users can reference to inquire about the digital image, typically the file name of the object. EXAMPLES: auc.001.0307.jpg vhi.btw.ph014.jpg vsu.arc.dee.txt001.jpg DC.Source: non- searchable, public/staff field Repository The institution where the item",,research_use,metadata_or_research_language,"Use relation for metadata, rights statements, identifiers, or research access depending on edge context.",Shows use as mediated by metadata and documentation.,source-grounded
E049,N28,Metadata Records,LINK_COMMONALITY_ACROSS,N23,Archival Materials,metadata,S10_research_guide,4,"Materials - this includes materials that were originally printed for use and publication. Relation - this section of metadata (within ""Object Description"") links to another relevant object found in a different collection within the digital repository. It points to commonality through resources, topics, people, events, and HBCUs. HBCU Digital Collection Research Guide: Conducting Research 4",,metadata,metadata_research_language,Metadata/research relation for linking commonalities across objects or collections.,Makes relational discovery visible as a metadata function.,source-grounded
E050,N28,Metadata Records,RESTORE_CONTEXT_TO,N24,Photographs,context,S04_metadata_pdf,2,"ng on front or back of photograph, you can include this here to make it searchable using “Written on recto:” or “Written on verso:” to refer to writing on the front or back of image. EXAMPLES: Members of the Early Bennett College Seminary Classes held in the St. Matthews Church Basement. Annie Merner Pfeiffer Hall was erected in 1934 as a senior dormitory under the 1930's building program begun after Bennet",,context,metadata_language,Context relation for metadata description that restores or preserves context.,Prevents archival objects from appearing as isolated digital items.,source-grounded
E051,N21,CONTENTdm,HOSTS,N22,HBCU Digital Collection,platform,S09_digital_yard_transcript,12,"phs from several of our collections represented on the website. Our digital repository is hosted by ContentDM. If you scroll down, you can browse all HBCUs, which will bring up all items within the collections, as well as select from each of these 28 HBCUs that we have represented so far. And our goal is to represent all 102 HBCUs. So you can search by browsing all, or if you're specifically interested in a",,infrastructure,platform_hosting_language,Infrastructure relation connecting a host platform or institution to a collection.,Shows hosting as part of access and maintenance.,interpretive-source-grounded
E052,N22,HBCU Digital Collection,PROVIDES_ACCESS_TO,N20,Researchers / Students / Public Users,access,S09_digital_yard_transcript,1,"ed, preserved, and shared. That gathering place, the HBCU Digital Collection, which is an online repository you can access 24 hours a day, 7 days a week, anywhere where there is internet capability. As we take this hour to share more information about the HBCU Digital Library Trust with you, we acknowledge having many different audiences today in the digital yard. We welcome HBCU students, faculty, administ",,access,mission_access_language,Access relation connecting collections or infrastructures to users or public access.,Expands citation maps to include access-making work.,source-grounded
E053,N20,Researchers / Students / Public Users,USE,N28,Metadata Records,research_use,S10_research_guide,3,"Facets are located on the left hand side of the CONTENTdm website and can be used to narrow down search results. The facets included are: Collections: helpful in situations in which you want to delve into a particular school or location, and in cases where the beginnings of your research you have determined. Subject: s",,research_use,metadata_or_research_language,"Use relation for metadata, rights statements, identifiers, or research access depending on edge context.",Shows use as mediated by metadata and documentation.,source-grounded
E054,N20,Researchers / Students / Public Users,ACCESS,N24,Photographs,research_use,S10_research_guide,3,"ion the material/object was created in Interesting Materials Black and White Photographs: Photographs are a form of visual documentation, and the HBCU Digital Collection's photographs span from 1889-2010. Catalogues and Bulletins: These materials analyze courses and programs offered at that school. HBCU Digital Collection Research Guide: Conducting Research 3",,research_use,research_access_language,Access relation derived from research guide language about using collection materials.,"Shows that materials become usable for researchers, students, and publics.",interpretive-source-grounded
E055,N20,Researchers / Students / Public Users,ACCESS,N25,Audio and Video Recordings,research_use,S10_research_guide,2,"ing the pdf on the right side of the item before you open the pdfs. When interacting with audiovisual content, you may be able to access closed captions/subtitles and a transcription. Closed captions (CC) are the written form/transcript of spoken words. You can enable and disable closed captions using the icon below the video - it is the fifth icon from the right. If the icon is white, closed captions are a",,research_use,research_access_language,Access relation derived from research guide language about using collection materials.,"Shows that materials become usable for researchers, students, and publics.",interpretive-source-grounded
E056,N20,Researchers / Students / Public Users,ACCESS,N27,Yearbooks and Student Publications,research_use,S10_research_guide,4,their lives and experiences. e.g. the Philander Smith University Oral History Collection Student Newsletters: These showcase the student voice through highlighting their publications. Yearbooks: Yearbooks showcase the student experience as well as interesting events and circumstances during the year captured. Terms to Know While Researching Archive - a physical or digital collection of historical records.,,research_use,research_access_language,Access relation derived from research guide language about using collection materials.,"Shows that materials become usable for researchers, students, and publics.",interpretive-source-grounded
E057,N10,Alabama Digital Preservation Network,PRESERVES_COPIES_OF,N22,HBCU Digital Collection,preservation,S09_digital_yard_transcript,6,"Researchers can view common attributes, as well as observe diverse aspects of each HBCU. Every asset in the collection is digitally preserved through membership in the Alabama Digital Preservation Network, or ADBNET. To keep lots of copies of these archival collections safe, HBCU institutions also receive copies of access and preservation files for their own use. Professional development opportunities are",,preservation,preservation_infrastructure_language,Preservation relation for copy retention or preservation network support.,Shows redundancy and long-term preservation as infrastructure.,interpretive-source-grounded
E058,N22,HBCU Digital Collection,SUPPORTS,N35,Black Institutional Knowledge Production,knowledge_production,S09_digital_yard_transcript,9,"the… view the collection repository, as more archival materials will become available for teaching, learning, research, and scholarship, or just general interest. If you are an administrator, library director, or archivist at an HBCU which is not represented yet. I look forward to connecting with you to change that. Next slide, please. As briefly mentioned before, we are excited to announce that the second",,capacity,support_language,"Support relation for institutional, technical, or knowledge-production support.",Shows infrastructural and intellectual support beyond formal citation.,interpretive-source-grounded
