node_id,name,node_type,description,evidence_source_id,paper_node_family,paper_node_note
N01,HBCU Digital Library Trust,Organization,Project initiative / trust infrastructure,S01_about_trust,Institution / Organization,Institutional or organizational actor named in the source corpus.
N02,Historically Black Colleges and Universities,InstitutionGroup,Contributing/potential HBCU institutions,S01_about_trust,Institution / Organization,Institutional or organizational actor named in the source corpus.
N03,HBCU Library Alliance,Organization,Consortium supporting HBCU library/information professionals,S02_partnerships,Institution / Organization,Institutional or organizational actor named in the source corpus.
N04,Harvard Library,Organization,"Partner contributing resources, training, and best practices",S07_faqs,Institution / Organization,Institutional or organizational actor named in the source corpus.
N05,Atlanta University Center Robert W. Woodruff Library,Organization,Digital repository host and digitization hub,S02_partnerships,Institution / Organization,Institutional or organizational actor named in the source corpus.
N06,Digitization Hub,Infrastructure,"Hub at AUC Woodruff Library where materials are received, cataloged, digitized, and returned",S09_digital_yard_transcript,Platform / Infrastructure,"Technical or institutional infrastructure that supports preservation, access, hosting, or digitization."
N07,Harvard & the Legacy of Slavery Initiative,Organization,Funding/reparative initiative supporting Trust,S12_harvard_legacy_slavery,Institution / Organization,Institutional or organizational actor named in the source corpus.
N08,MacArthur Foundation,Organization,Grant funder supporting expansion/sustainability,S08_macarthur_grant,Institution / Organization,Institutional or organizational actor named in the source corpus.
N09,Cornell University Library,Organization,Historical partner in earlier HBCU-CUL Digitization Initiative,S11_hbcu_library_alliance,Institution / Organization,Institutional or organizational actor named in the source corpus.
N10,Alabama Digital Preservation Network,PreservationNetwork,Digital preservation network for copies,S09_digital_yard_transcript,Platform / Infrastructure,"Technical or institutional infrastructure that supports preservation, access, hosting, or digitization."
N11,Trusted audiovisual vendor,Vendor,External vendor for certain A/V digitization,S06_material_formats,Institution / Organization,Institutional or organizational actor named in the source corpus.
N12,Program Director,Role,Trust leadership role,S01_about_trust,Labor role,Role made visible as knowledge-infrastructure labor rather than background support.
N13,Program Coordinator,Role,Trust coordination role,S01_about_trust,Labor role,Role made visible as knowledge-infrastructure labor rather than background support.
N14,Digitization Project Manager,Role,Coordinates digitization and repository workflow,S09_digital_yard_transcript,Labor role,Role made visible as knowledge-infrastructure labor rather than background support.
N15,Traveling Archivist,Role,"Assists HBCUs with selection, packing, organization, site visits",S09_digital_yard_transcript,Labor role,Role made visible as knowledge-infrastructure labor rather than background support.
N16,Digital Imaging Librarian,Role,Scans materials using calibrated equipment,S09_digital_yard_transcript,Labor role,Role made visible as knowledge-infrastructure labor rather than background support.
N17,Digitization Technical Assistant,Role,"Image treatment, OCR, and processing",S09_digital_yard_transcript,Labor role,Role made visible as knowledge-infrastructure labor rather than background support.
N18,Metadata Staff / Information Professionals,Role,Create detailed descriptions in collaboration with HBCUs,S09_digital_yard_transcript,Labor role,Role made visible as knowledge-infrastructure labor rather than background support.
N19,Contributing HBCU Library and Archive Staff,Role,"Select materials, collaborate, retain ownership/control",S07_faqs,Labor role,Role made visible as knowledge-infrastructure labor rather than background support.
N20,Researchers / Students / Public Users,UserGroup,End users of HBCU Digital Collection,S10_research_guide,User / Public,Users or publics named or implied by access and research documentation.
N21,CONTENTdm,Platform,Digital asset management/repository platform,S09_digital_yard_transcript,Platform / Infrastructure,"Technical or institutional infrastructure that supports preservation, access, hosting, or digitization."
N22,HBCU Digital Collection,Repository,Online repository / Digital Yard access point,S09_digital_yard_transcript,Platform / Infrastructure,"Technical or institutional infrastructure that supports preservation, access, hosting, or digitization."
N23,Archival Materials,ObjectClass,Physical/digital materials documenting HBCU history/culture/heritage,S06_material_formats,Material / Memory object,Archival or memory material named in material-format or research documentation.
N24,Photographs,ObjectClass,"Visual documentation, including portraits/campus life/buildings",S06_material_formats,Material / Memory object,Archival or memory material named in material-format or research documentation.
N25,Audio and Video Recordings,ObjectClass,"AV material, speeches, performances, oral histories",S06_material_formats,Material / Memory object,Archival or memory material named in material-format or research documentation.
N26,Documents and Manuscripts,ObjectClass,"Texts, administrative documents, manuscripts",S06_material_formats,Material / Memory object,Archival or memory material named in material-format or research documentation.
N27,Yearbooks and Student Publications,ObjectClass,Student experience and institutional life materials,S10_research_guide,Material / Memory object,Archival or memory material named in material-format or research documentation.
N28,Metadata Records,DataObject,Structured descriptions for digital objects,S03_metadata_libguide,Metadata / rights / file object,"Description, rights, identifier, OCR, access, or preservation object created by the workflow."
N29,Rights Statements,DataObject,Copyright/permission information in metadata,S07_faqs,Metadata / rights / file object,"Description, rights, identifier, OCR, access, or preservation object created by the workflow."
N30,Access Files,DataObject,Internet-ready access copies for research access,S09_digital_yard_transcript,Metadata / rights / file object,"Description, rights, identifier, OCR, access, or preservation object created by the workflow."
N31,Preservation Files,DataObject,High-resolution preservation files returned to HBCUs,S09_digital_yard_transcript,Metadata / rights / file object,"Description, rights, identifier, OCR, access, or preservation object created by the workflow."
N32,Unique Identifiers,DataObject,Identifiers assigned to objects for tracking/inquiry,S04_metadata_pdf,Metadata / rights / file object,"Description, rights, identifier, OCR, access, or preservation object created by the workflow."
N33,OCR Text,DataObject,Searchable text extracted from documents,S09_digital_yard_transcript,Metadata / rights / file object,"Description, rights, identifier, OCR, access, or preservation object created by the workflow."
N34,"Institutional, Cultural, and Community Memory",Concept,Memory sustained through preservation/access,S01_about_trust,Concept / value,"Conceptual or value-bearing node derived from mission, rights, memory, access, or recognition language."
N35,Black Institutional Knowledge Production,Concept,Knowledge production sustained through HBCU infrastructures,S01_about_trust,Concept / value,"Conceptual or value-bearing node derived from mission, rights, memory, access, or recognition language."
N36,Open Public Access,Concept,Access principle for digitized collections,S02_partnerships,Concept / value,"Conceptual or value-bearing node derived from mission, rights, memory, access, or recognition language."
N37,Institutional Ownership and Control,Concept,HBCUs retain copyright/ownership and contact rights,S07_faqs,Concept / value,"Conceptual or value-bearing node derived from mission, rights, memory, access, or recognition language."
N38,"Respectful, Sensitive, and Accurate Description",Concept,Metadata value and practice,S03_metadata_libguide,Concept / value,"Conceptual or value-bearing node derived from mission, rights, memory, access, or recognition language."
